"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1977 - 12/2020"
"Unit of Measure:","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Kia | Mitsubishi | Scion | All Models | All Vehicle Years, 01/1977 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3817049"
"ColumnCount:",4
"RowCount:",528

"Time","All Types, Kia, All Models, All Vehicle Years, #","All Types, Mitsubishi, All Models, All Vehicle Years, #","All Types, Scion, All Models, All Vehicle Years, #"
"08/1997",6,104,
"09/1997",14,86,
"10/1997",2,90,
"11/1997",12,86,
"12/1997",6,102,
"01/1998",6,80,
"02/1998",14,62,
"03/1998",12,94,
"04/1998",8,76,
"05/1998",6,88,
"06/1998",4,96,
"07/1998",14,88,
"08/1998",12,78,
"09/1998",4,102,
"10/1998",8,104,
"11/1998",12,88,
"12/1998",8,94,
"01/1999",16,64,
"02/1999",14,66,
"03/1999",10,92,
"04/1999",12,86,
"05/1999",10,94,
"06/1999",20,100,
"07/1999",12,84,
"08/1999",16,88,
"09/1999",16,94,
"10/1999",28,64,
"11/1999",12,86,
"12/1999",24,110,
"01/2000",15,42,
"02/2000",5,47,
"03/2000",9,47,
"04/2000",9,54,
"05/2000",16,64,
"06/2000",12,55,
"07/2000",11,63,
"08/2000",9,48,
"09/2000",14,66,
"10/2000",17,51,
"11/2000",9,55,
"12/2000",12,49,
"01/2001",13,53,
"02/2001",17,46,
"03/2001",11,57,
"04/2001",15,55,
"05/2001",17,73,
"06/2001",21,45,
"07/2001",17,55,
"08/2001",22,56,
"09/2001",9,51,
"10/2001",17,58,
"11/2001",15,58,
"12/2001",22,54,
"01/2002",18,58,
"02/2002",5,54,
"03/2002",22,68,
"04/2002",15,64,
"05/2002",17,69,
"06/2002",20,56,
"07/2002",27,76,
"08/2002",22,80,
"09/2002",18,60,
"10/2002",21,81,
"11/2002",22,67,
"12/2002",22,60,
"01/2003",16,42,
"02/2003",16,56,
"03/2003",16,47,
"04/2003",25,47,
"05/2003",22,58,
"06/2003",25,63,
"07/2003",22,84,
"08/2003",34,57,
"09/2003",29,59,
"10/2003",22,63,
"11/2003",24,60,
"12/2003",25,59,
"01/2004",30,55,
"02/2004",14,65,
"03/2004",27,60,
"04/2004",35,67,
"05/2004",30,72,
"06/2004",32,54,
"07/2004",25,53,
"08/2004",26,62,
"09/2004",21,68,
"10/2004",30,57,
"11/2004",27,67,
"12/2004",29,78,
"01/2005",27,47,
"02/2005",31,42,
"03/2005",31,45,
"04/2005",34,61,
"05/2005",27,67,
"06/2005",26,58,
"07/2005",37,67,
"08/2005",35,78,
"09/2005",26,45,
"10/2005",43,73,
"11/2005",39,59,
"12/2005",38,72,
"01/2006",28,46,
"02/2006",35,68,
"03/2006",24,61,
"04/2006",24,52,
"05/2006",32,59,
"06/2006",35,69,
"07/2006",31,61,
"08/2006",30,48,
"09/2006",31,47,
"10/2006",35,60,
"11/2006",31,55,
"12/2006",37,76,
"01/2007",28,51,
"02/2007",32,49,
"03/2007",34,59,
"04/2007",35,54,
"05/2007",28,67,
"06/2007",32,54,
"07/2007",30,57,
"08/2007",32,49,
"09/2007",31,45,
"10/2007",37,67,
"11/2007",32,62,
"12/2007",47,44,
"01/2008",32,42,
"02/2008",36,43,
"03/2008",31,46,
"04/2008",38,35,
"05/2008",35,41,
"06/2008",42,42,
"07/2008",41,39,
"08/2008",31,51,
"09/2008",30,40,
"10/2008",43,50,
"11/2008",35,50,
"12/2008",31,48,
"01/2009",26,39,
"02/2009",23,29,
"03/2009",32,37,
"04/2009",37,46,
"05/2009",29,39,
"06/2009",27,38,
"07/2009",30,37,
"08/2009",34,33,
"09/2009",35,38,
"10/2009",29,42,
"11/2009",29,44,
"12/2009",35,34,
"01/2010",51,34,
"02/2010",27,28,
"03/2010",44,37,
"04/2010",27,31,
"05/2010",42,47,
"06/2010",30,33,
"07/2010",31,39,
"08/2010",37,31,
"09/2010",24,37,
"10/2010",37,43,
"11/2010",36,45,
"12/2010",37,35,
"01/2011",34,30,
"02/2011",36,20,
"03/2011",29,41,
"04/2011",41,27,
"05/2011",44,37,
"06/2011",30,43,
"07/2011",36,43,
"08/2011",45,38,
"09/2011",50,42,
"10/2011",39,50,
"11/2011",38,39,
"12/2011",51,40,
"01/2012",32,33,
"02/2012",37,23,1
"03/2012",35,38,
"04/2012",42,38,
"05/2012",33,25,
"06/2012",50,40,
"07/2012",28,32,2
"08/2012",53,33,2
"09/2012",61,38,1
"10/2012",46,30,1
